Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,9000,Atl@TB 01:00PM ET,25.227,Atl
WR,Odell Beckham,8900,NYJ@NYG 01:00PM ET,22.255,NYG
WR,DeAndre Hopkins,8800,Hou@Buf 01:00PM ET,23.645,Hou
WR,Antonio Brown,8600,Ind@Pit 08:30PM ET,23.455,Pit
QB,Tom Brady,8000,Phi@NE 04:25PM ET,25.709,NE
RB,Devonta Freeman,8000,Atl@TB 01:00PM ET,24.44,Atl
TE,Rob Gronkowski,7800,Phi@NE 04:25PM ET,19.918,NE
WR,A.J. Green,7600,Cin@Cle 01:00PM ET,17.9,Cin
WR,Julian Edelman,7500,Phi@NE 04:25PM ET,19.611,NE
WR,Dez Bryant,7500,Dal@Was 08:30PM ET,11,Dal
WR,Larry Fitzgerald,7400,Ari@StL 01:00PM ET,21.018,Ari
QB,Cam Newton,7400,Car@NO 04:25PM ET,23.213,Car
WR,Mike Evans,7300,Atl@TB 01:00PM ET,15.09,TB
WR,Allen Robinson,7300,Jax@Ten 01:00PM ET,18.609,Jac
RB,Todd Gurley,7300,Ari@StL 01:00PM ET,17.522,StL
WR,Demaryius Thomas,7200,Den@SD 04:05PM ET,16.645,Den
WR,Brandon Marshall,7100,NYJ@NYG 01:00PM ET,21.282,NYJ
QB,Drew Brees,6900,Car@NO 04:25PM ET,21.99,NO
RB,Matt Forte,6900,SF@Chi 01:00PM ET,16.25,Chi
WR,Alshon Jeffery,6900,SF@Chi 01:00PM ET,20.75,Chi
WR,Amari Cooper,6900,KC@Oak 04:05PM ET,16.227,Oak
QB,Carson Palmer,6700,Ari@StL 01:00PM ET,23.598,Ari
QB,Matt Ryan,6700,Atl@TB 01:00PM ET,17.671,Atl
QB,Andrew Luck,6700,Ind@Pit 08:30PM ET,21.406,Ind
WR,Jarvis Landry,6700,Bal@Mia 01:00PM ET,19.333,Mia
QB,Philip Rivers,6600,Den@SD 04:05PM ET,22.667,SD
QB,Ben Roethlisberger,6600,Ind@Pit 08:30PM ET,22.46,Pit
RB,Adrian Peterson,6600,Sea@Min 01:00PM ET,20.155,Min
QB,Eli Manning,6500,NYJ@NYG 01:00PM ET,19.958,NYG
WR,Emmanuel Sanders,6500,Den@SD 04:05PM ET,16.02,Den
WR,Michael Crabtree,6500,KC@Oak 04:05PM ET,16.136,Oak
TE,Greg Olsen,6400,Car@NO 04:25PM ET,15.8,Car
QB,Andy Dalton,6400,Cin@Cle 01:00PM ET,21.813,Cin
RB,Mark Ingram,6400,Car@NO 04:25PM ET,17.045,NO
RB,Marshawn Lynch,6300,Sea@Min 01:00PM ET,12.243,Sea
WR,Eric Decker,6300,NYJ@NYG 01:00PM ET,16.8,NYJ
WR,Brandin Cooks,6300,Car@NO 04:25PM ET,15.309,NO
QB,Derek Carr,6200,KC@Oak 04:05PM ET,20.6,Oak
QB,Blake Bortles,6000,Jax@Ten 01:00PM ET,20.689,Jac
QB,Peyton Manning,5900,Den@SD 04:05PM ET,12.422,Den
RB,Chris Ivory,5900,NYJ@NYG 01:00PM ET,16.66,NYJ
RB,Doug Martin,5900,Atl@TB 01:00PM ET,16.245,TB
RB,DeMarco Murray,5800,Phi@NE 04:25PM ET,15.5,Phi
RB,Lamar Miller,5800,Bal@Mia 01:00PM ET,16.073,Mia
TE,Tyler Eifert,5800,Cin@Cle 01:00PM ET,15.745,Cin
WR,Jordan Matthews,5800,Phi@NE 04:25PM ET,13.045,Phi
TE,Delanie Walker,5700,Jax@Ten 01:00PM ET,15.28,Ten
RB,LeSean McCoy,5700,Hou@Buf 01:00PM ET,17.322,Buf
WR,T.Y. Hilton,5700,Ind@Pit 08:30PM ET,15.082,Ind
WR,Allen Hurns,5700,Jax@Ten 01:00PM ET,15.8,Jac
RB,DeAngelo Williams,5600,Ind@Pit 08:30PM ET,12.982,Pit
QB,Tony Romo,5600,Dal@Was 08:30PM ET,12.915,Dal
QB,Russell Wilson,5600,Sea@Min 01:00PM ET,19.529,Sea
WR,Martavis Bryant,5600,Ind@Pit 08:30PM ET,20.35,Pit
WR,Sammy Watkins,5600,Hou@Buf 01:00PM ET,14.95,Buf
QB,Marcus Mariota,5500,Jax@Ten 01:00PM ET,19.051,Ten
RB,Javorius Allen,5400,Bal@Mia 01:00PM ET,6.082,Bal
RB,Thomas Rawls,5400,Sea@Min 01:00PM ET,10.264,Sea
QB,Matt Hasselbeck,5300,Ind@Pit 08:30PM ET,17.555,Ind
TE,Gary Barnidge,5300,Cin@Cle 01:00PM ET,16.527,Cle
RB,Darren McFadden,5300,Dal@Was 08:30PM ET,13.009,Dal
RB,Jonathan Stewart,5300,Car@NO 04:25PM ET,12.327,Car
QB,Ryan Tannehill,5300,Bal@Mia 01:00PM ET,18.84,Mia
TE,Jordan Reed,5300,Dal@Was 08:30PM ET,15.9,Was
RB,Jeremy Langford,5300,SF@Chi 01:00PM ET,10.545,Chi
QB,Jameis Winston,5300,Atl@TB 01:00PM ET,18.136,TB
QB,Ryan Fitzpatrick,5200,NYJ@NYG 01:00PM ET,17.976,NYJ
WR,Jeremy Maclin,5200,KC@Oak 04:05PM ET,16.1,KC
QB,Tyrod Taylor,5200,Hou@Buf 01:00PM ET,19.089,Buf
QB,Kirk Cousins,5200,Dal@Was 08:30PM ET,17.88,Was
WR,Travis Benjamin,5200,Cin@Cle 01:00PM ET,16.355,Cle
QB,Brock Osweiler,5200,Den@SD 04:05PM ET,10.81,Den
RB,Charcandrick West,5200,KC@Oak 04:05PM ET,9.72,KC
QB,Josh McCown,5100,Cin@Cle 01:00PM ET,18.895,Cle
QB,Matt Cassel,5100,Dal@Was 08:30PM ET,10.097,Dal
QB,Jay Cutler,5100,SF@Chi 01:00PM ET,17.67,Chi
QB,Alex Smith,5100,KC@Oak 04:05PM ET,17.595,KC
QB,Mark Sanchez,5100,Phi@NE 04:25PM ET,12.613,Phi
WR,DeSean Jackson,5100,Dal@Was 08:30PM ET,9.04,Was
QB,Sam Bradford,5100,Phi@NE 04:25PM ET,14.887,Phi
RB,LeGarrette Blount,5100,Phi@NE 04:25PM ET,11.49,NE
QB,Mike Vick,5000,Ind@Pit 08:30PM ET,6.348,Pit
QB,Derek Anderson,5000,Car@NO 04:25PM ET,0.2,Car
QB,Kellen Clemens,5000,Den@SD 04:05PM ET,6.52,SD
QB,Shaun Hill,5000,Sea@Min 01:00PM ET,0.25,Min
QB,Matt Moore,5000,Bal@Mia 01:00PM ET,0.36,Mia
QB,Drew Stanton,5000,Ari@StL 01:00PM ET,-0.067,Ari
QB,Matt Schaub,5000,Bal@Mia 01:00PM ET,16.28,Bal
QB,Brian Hoyer,5000,Hou@Buf 01:00PM ET,17.045,Hou
QB,Joe Webb,5000,Car@NO 04:25PM ET,-0.009,Car
QB,Chase Daniel,5000,KC@Oak 04:05PM ET,0.16,KC
QB,T.J. Yates,5000,Hou@Buf 01:00PM ET,11.11,Hou
QB,Case Keenum,5000,Ari@StL 01:00PM ET,3.72,StL
QB,Austin Davis,5000,Cin@Cle 01:00PM ET,7.78,Cle
QB,Nick Foles,5000,Ari@StL 01:00PM ET,10.344,StL
QB,Landry Jones,5000,Ind@Pit 08:30PM ET,5.444,Pit
QB,EJ Manuel,5000,Hou@Buf 01:00PM ET,10.56,Buf
QB,Blaine Gabbert,5000,SF@Chi 01:00PM ET,17.727,SF
QB,Sean Renfree,5000,Atl@TB 01:00PM ET,-0.4,Atl
QB,Matt McGloin,5000,KC@Oak 04:05PM ET,5.84,Oak
QB,Zach Mettenberger,5000,Jax@Ten 01:00PM ET,4.185,Ten
QB,AJ McCarron,5000,Cin@Cle 01:00PM ET,-0.04,Cin
QB,Geno Smith,5000,NYJ@NYG 01:00PM ET,21,NYJ
QB,Jimmy Garoppolo,5000,Phi@NE 04:25PM ET,-0.125,NE
QB,Sean Mannion,5000,Ari@StL 01:00PM ET,1.24,StL
QB,Teddy Bridgewater,5000,Sea@Min 01:00PM ET,13.345,Min
QB,Johnny Manziel,5000,Cin@Cle 01:00PM ET,9.189,Cle
TE,Antonio Gates,4900,Den@SD 04:05PM ET,15.683,SD
RB,Spencer Ware,4900,KC@Oak 04:05PM ET,9.167,KC
WR,Brandon LaFell,4800,Phi@NE 04:25PM ET,9.7,NE
RB,Danny Woodhead,4800,Den@SD 04:05PM ET,14.855,SD
WR,Kamar Aiken,4800,Bal@Mia 01:00PM ET,10.873,Bal
RB,Latavius Murray,4800,KC@Oak 04:05PM ET,13.464,Oak
WR,John Brown,4800,Ari@StL 01:00PM ET,14.36,Ari
RB,Jeremy Hill,4800,Cin@Cle 01:00PM ET,10.127,Cin
RB,T.J. Yeldon,4800,Jax@Ten 01:00PM ET,13.1,Jac
RB,Tevin Coleman,4800,Atl@TB 01:00PM ET,4.678,Atl
TE,Jason Witten,4700,Dal@Was 08:30PM ET,10.618,Dal
WR,Vincent Jackson,4700,Atl@TB 01:00PM ET,12.138,TB
WR,Danny Amendola,4700,Phi@NE 04:25PM ET,12.01,NE
TE,Travis Kelce,4700,KC@Oak 04:05PM ET,13.718,KC
WR,Stefon Diggs,4700,Sea@Min 01:00PM ET,15.038,Min
RB,Chris Johnson,4600,Ari@StL 01:00PM ET,11.018,Ari
RB,Alfred Blue,4600,Hou@Buf 01:00PM ET,7.927,Hou
WR,Donte Moncrief,4600,Ind@Pit 08:30PM ET,13.309,Ind
TE,Jimmy Graham,4500,Sea@Min 01:00PM ET,11.227,Sea
RB,Ronnie Hillman,4500,Den@SD 04:05PM ET,10.636,Den
RB,Giovani Bernard,4500,Cin@Cle 01:00PM ET,13.618,Cin
WR,Willie Snead,4500,Car@NO 04:25PM ET,12.055,NO
TE,Benjamin Watson,4400,Car@NO 04:25PM ET,12.127,NO
RB,Frank Gore,4300,Ind@Pit 08:30PM ET,12.1,Ind
WR,Kendall Wright,4300,Jax@Ten 01:00PM ET,11.113,Ten
WR,Tavon Austin,4300,Ari@StL 01:00PM ET,13.427,StL
WR,Pierre Garcon,4200,Dal@Was 08:30PM ET,10.709,Was
RB,Shane Vereen,4200,NYJ@NYG 01:00PM ET,10.227,NYG
WR,Anquan Boldin,4100,SF@Chi 01:00PM ET,13.089,SF
